nodes_per_instance,p,exponent,instance_connectivity,simpsons_index,reachability
equal,0.95,2.62,0.25540,0.41877,0.83841
equal,0.95,2.62,0.26690,0.42138,0.92754
equal,0.95,2.62,0.25126,0.42146,0.87112
equal,0.95,2.62,0.28056,0.46422,0.95544
equal,0.95,3.00,0.24170,0.40126,0.92816
equal,0.95,3.00,0.24127,0.39611,0.94917
equal,0.95,3.00,0.23019,0.37562,0.88698
equal,0.95,3.00,0.25098,0.41114,0.90464
equal,0.95,3.00,0.23923,0.38802,0.92861
equal,1.00,1.50,0.33736,0.53607,0.98632
equal,1.00,1.50,0.34830,0.55171,0.98586
equal,1.00,1.50,0.33021,0.52268,0.99707
equal,1.00,1.50,0.40290,0.62040,0.98686
equal,1.00,1.50,0.38473,0.59063,0.99712
equal,1.00,1.88,0.35710,0.54257,0.99704
equal,1.00,1.88,0.33785,0.53548,0.99692
equal,1.00,1.88,0.33451,0.53849,0.97366
equal,1.00,1.88,0.33799,0.52780,0.98488
equal,1.00,1.88,0.35532,0.54783,0.98488
equal,1.00,2.25,0.28638,0.46992,0.93156
equal,1.00,2.25,0.29755,0.48113,0.96882
equal,1.00,2.25,0.30063,0.47656,0.97194
equal,1.00,2.25,0.30098,0.48874,0.92663
equal,1.00,2.25,0.27993,0.45540,0.92592
equal,1.00,2.62,0.27575,0.45366,0.90906
equal,1.00,2.62,0.27585,0.44984,0.91529
equal,1.00,2.62,0.25481,0.40260,0.90971
equal,1.00,2.62,0.29152,0.47737,0.95466
equal,1.00,2.62,0.26852,0.43503,0.95251
equal,1.00,3.00,0.25685,0.42619,0.95501
equal,1.00,3.00,0.24819,0.40501,0.91760
equal,1.00,3.00,0.22724,0.37193,0.87617
equal,1.00,3.00,0.24221,0.39981,0.84692
equal,1.00,3.00,0.24314,0.39380,0.88252
expon,0.00,1.50,0.10000,0.00000,0.12126
expon,0.00,1.50,0.10000,0.00000,0.12196
expon,0.00,1.50,0.10000,0.00000,0.12071
expon,0.00,1.50,0.10000,0.00000,0.11830
expon,0.00,1.50,0.10000,0.00000,0.11865
expon,0.00,1.88,0.10000,0.00000,0.11765
expon,0.00,1.88,0.10000,0.00000,0.11764
expon,0.00,1.88,0.10000,0.00000,0.11977
expon,0.00,1.88,0.10000,0.00000,0.11729
expon,0.00,1.88,0.10000,0.00000,0.11489
expon,0.00,2.25,0.10000,0.00000,0.11551
